from_tracklet_id,to_tracklet_id,from_raw_track_id,to_raw_track_id,from_end_frame,to_start_frame,gap_frames,predicted_distance_px,size_ratio,link_cost,link_status,review_status
mot_0009_tl08,mot_0008_tl02,mot_0009,mot_0008,171,176,4,1078.66,3.62,1089.66,REJECT_DISTANCE,PENDING_REVIEW
mot_0009_tl08,mot_0009_tl09,mot_0009,mot_0009,171,173,1,0.96,1.03,2.96,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0008_tl03,mot_0137_tl01,mot_0008,mot_0137,214,219,4,1183.51,2.73,1194.51,REJECT_DISTANCE,PENDING_REVIEW
mot_0006_tl01,mot_0166_tl01,mot_0006,mot_0166,279,282,2,6.36,1.63,13.36,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl09,mot_0009_tl10,mot_0009,mot_0009,308,311,2,2.69,1.06,6.69,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl10,mot_0009_tl11,mot_0009,mot_0009,325,327,1,0.48,1.06,2.48,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0009_tl11,mot_0007_tl02,mot_0009,mot_0007,340,349,8,1283.13,1.62,1302.13,REJECT_DISTANCE,PENDING_REVIEW
mot_0007_tl01,mot_0007_tl02,mot_0007,mot_0007,346,349,2,0.77,1.09,4.77,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0189_tl01,mot_0189_tl02,mot_0189,mot_0189,405,407,1,4.16,1.18,6.16,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0209_tl01,mot_0209_tl02,mot_0209,mot_0209,646,648,1,6.46,1.05,8.46,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0209_tl02,mot_0209_tl03,mot_0209,mot_0209,658,660,1,0.17,1.03,2.17,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0226_tl01,mot_0010_tl02,mot_0226,mot_0010,705,713,7,4.13,1.19,21.13,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0226_tl01,mot_0226_tl02,mot_0226,mot_0226,705,712,6,0.43,1.01,12.43,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0010_tl01,mot_0010_tl02,mot_0010,mot_0010,711,713,1,0.36,1.01,2.36,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0010_tl01,mot_0226_tl02,mot_0010,mot_0226,711,712,0,4.21,1.20,7.21,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0010_tl01,mot_0226_tl03,mot_0010,mot_0226,711,720,8,4.40,1.20,23.40,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0010_tl01,mot_0226_tl04,mot_0010,mot_0226,711,722,10,4.39,1.21,27.39,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0226_tl02,mot_0010_tl02,mot_0226,mot_0010,712,713,0,3.85,1.19,6.85,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0226_tl02,mot_0226_tl03,mot_0226,mot_0226,712,720,7,0.28,1.00,14.28,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0226_tl02,mot_0226_tl04,mot_0226,mot_0226,712,722,9,0.28,1.00,18.28,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0226_tl03,mot_0226_tl04,mot_0226,mot_0226,720,722,1,0.02,1.00,2.02,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0226_tl04,mot_0226_tl05,mot_0226,mot_0226,731,733,1,0.03,1.00,2.03,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0226_tl04,mot_0231_tl01,mot_0226,mot_0231,731,738,6,340.52,1.53,355.52,REJECT_DISTANCE,PENDING_REVIEW
mot_0226_tl05,mot_0226_tl06,mot_0226,mot_0226,749,751,1,0.16,1.00,2.16,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0226_tl05,mot_0226_tl07,mot_0226,mot_0226,749,753,3,0.26,1.00,6.26,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0226_tl05,mot_0235_tl02,mot_0226,mot_0235,749,751,1,1424.81,2.35,1429.81,REJECT_DISTANCE,PENDING_REVIEW
mot_0226_tl05,mot_0235_tl03,mot_0226,mot_0235,749,757,7,1423.28,1.81,1440.28,REJECT_DISTANCE,PENDING_REVIEW
mot_0226_tl05,mot_0235_tl04,mot_0226,mot_0235,749,759,9,1421.59,1.80,1442.59,REJECT_DISTANCE,PENDING_REVIEW
mot_0235_tl01,mot_0226_tl06,mot_0235,mot_0226,749,751,1,1417.10,2.56,1422.10,REJECT_DISTANCE,PENDING_REVIEW
mot_0235_tl01,mot_0226_tl07,mot_0235,mot_0226,749,753,3,1415.78,2.56,1424.78,REJECT_DISTANCE,PENDING_REVIEW
mot_0235_tl01,mot_0235_tl02,mot_0235,mot_0235,749,751,1,8.78,1.08,10.78,ACCEPT_CANDIDATE,AUTO_ACCEPT
